PROGRAM OF STUDY (FOREIGN),Designation,MAJOR TO USE ON EQUIVALENCY
Construction Managemednt, Science, Construction Management
Civil Engineering,Science,Civil Engineering
Civil Engineering Technology,Science,Civil Engineering Technology
Mechanical Engineering, Science, Mechanical Engineering
Accounting,Non-Science,Accounting
Accounting (2-year programs following completion of secondary),Non-Science,Associate's degree in accounting
Accounting and Finance,Non-Science,Accounting and Finance
Accounting Information Systems,Non-Science,Accounting Information Systems
Adult Education,Non-Science,Adult Education
Adult and Continuing Education (master's degree),Non-Science,Diploma from an accredited vocational senior high school
Aeronautical Engineering (undergraduate),Science,Aerospace Engineering
Aeronautical Science,Science,Aeronautical Science - Flight
Agroindustrial Engineering ,Science,Agricultural Engineering
Agropecuario,Science,Agricutlture
Allied Health Science (Associate's degree),Science,Associate of Science in Allied Health Science
Anesthesiology (Bachelor's degree),Science,Medical Sciences
Applied Postitive Psychology (master's level),Non-Science,Positive Applied Psychology
Airline and Airport Management (undergraduate),Non-Science,Aviation Management
Aircraft Mechanical Engineering (AS) level,Science,agr
Aircraft Maintenance (bachelor's level),Science,BS in Aviation Maintenance Science
Air Traffic Transportation,Science,Air Traffic Control
Andragogy,Non-Science,Adult Education
Applied Statistics and Data Science,Science,MSc in Applied Statistics and Data Science
Applied Physics,Science,Applied Physics
Art and Technology,Non-Science,Art and Technology
Audiology (graduate level),Non-Science,Communicative Disorders and Sciences / Communication Disorders / Speech-Language Pathology
Audiology and Speech Language Pathology (undergraduate level),Non-Science,Speech-Language Pathology and Audiology
Automation and Control Engineering (BS),Science,Automation and Control Engineering Technology
Aviation (Civil Aviation),Non-Science,Aviation Management
Aviation Electronics Technology (AS level),Science,AAS in Avionics
Aviation Electronics Technology (BS level),Science,BSc in Avionics
Aviation Management,Non-Science,Aviation Management
Aviation Pilot,Professional Training,Professional Pilot Technology
Bachelor of Engineering - Instrumentation Technology,Science,Instrumentation Engineering Technology
Bacteriologia/Bacteriologo,Science,Microbiology
Bachelor of Commerce - Computer Applications/Computers,Science,Management Information Systems
Bacteriologia/Bacteriologo (master's degree),Science,Bacteriology
Banking and Finance,Non-Science,Banking and Finance
Big Data,Science,Data Science
Bioanalyis,Science,Bioanalytical Chemistry
Biochemical Engineering (BS+MS),Science,Biochemical Engineering
Biodiversity,Science,Biodiversity and conservation
Bioengineering (bachelor),Science,Bioengineering
Biological Sciences,Science,Biological Sciences
Biomedical Sciences (master level),Science,Biomedical Sciences
Biomedical Research (and variations) (master's level),Science,Biomedical Research
Biometry (graduate level),Science,Biometry (Master of Science)
Biotechnology ,Science,Biotechnology
Biotechnology Engineering,Science,Biotechnology Engineering* (*only use for non-ECA's)
Brewing science and technology,Non-Science,Fermentation Science
Building Construction (associate's level),Non-Science,AAS in Building Construction Technology
Building and Construction Engineerng,Science,Construction Engineering
Business Computing,Non-Science,Management Information Systems
Business Economics,Non-Science,Business Economics
Business English,Non-Science,English Language
Business Intelligence,Non-Science,Business Analytics
Business Information Systems,Science,Business Information Systems
Business Information Technology,Science,Business Information Technology
Cancer / Oncology,Science,Cancer Biology
Career Development (bachelor),Non-Science,Professional Studies
Chemical Pharmacology,Science,Pharmacological Chemistry
Choir (as a major or concentration),Non-Science,Choral Music
Choir/Choral Conducting,Non-Science,Choral Conducting
Child Studies,Non-Science,Child Development
Chinese for foreigners/Chinese as a second language,Non-Science,Teaching Chinese as a Foreign Language
Ciencias Administrativas,Non-Science,Business Administration
Civil aviation,Non-Science,Aviation Management
Civil and Environmental Engineering,Science,Civil and Evironmental Engineering
Civil Engineering Technology,Science,Civil Engineering Technology
Clinical Psychology (undergraduate level),Non-Science,Psychology
Clinical Psychology (graduate level),Non-Science,Clinical Psychology
Commercial Engineering,Non-Science,Business Administration
Community Development,Non-Science,Community Development
Community Health ,Non-Science,Community Health
Communication Disorders (Master of Education),Non-Science,Master's degree in education with a concentration in communication sciences and disorders...
Communications (mass com; social communications),Non-Science,Communications
Communication Engineering,Science,Telecommunications Engineering
Communication Technology,Non-Science,Communications Technology
Computacion ,Science,Computer science
Computer Applications,Science,Computer Information Systems
Computer Applications Development,Science,Software Development
Computer Engineering,Science,Computer Engineering
Computer Systems Engineering (undergraduate and graduate levels),Science,Computer Systems Engineering
Conflict and Mediation,Non-Science,Conflict Management and Resolution
Construction Engineering (bachelor's level),Science,Construction Engineering
Consular Affairs,Non-Science,Diplomacy
Contador Publico,Non-Science,Accounting
Control and Automation Engineering,Science,Automation and Control Engineering Technology
Cosmetology (Associate of Applied Science),Science,Associate of Applied Science in Cosmetology
Cost Engineering,Science,Engineering Project Management
Counseling (undergraduate),Non-Science,Human services
Counseling Psychology (master's),Non-Science,Counseling Psychology
Criminal Justice (bachelor's),Non-Science,Criminal Justice
Criminalistica (undergraduate level),Non-Science,Criminal Justice with a concentration in criminalistics
Criminology,Non-Science,Criminology
Critical Pedagogy (graduate level),Non-Science,Critical Pedagogy
Crop Science,Science,Crop Science
Culinary Arts (associate's degree),Non-Science,Culinary Arts
Culinary Arts (bachelor's degree),Non-Science,Culinary Arts and Science
Cultural Heritage,Non-Science,Cultural Heritage and Preservation Studies
Culture and media studies,Non-Science,"Culture, media and communication"
Curriculum and instruction,Non-Science,Curriculum and Instruction
"Customs, Border Patrol, etc",Non-Science,Border and Homeland Security
Customs and and trade or anything to do with customs,Non-Science,International Trade
Dental Technology (bachelor's degree),Science,Dental Technology
Design,Non-Science,Design
Development Education,Non-Science,Education
Development Studies ,Non-Science,Development Studies
Digital Enterprise Management,Non-Science,Digital Technology Management
Diplomacy/Diplomatic Affairs,Non-Science,Diplomacy
Diseñador de Imagen y Sonido,Non-Science,Digital Media Design
Divinity (master's),Non-Science,Master of Divinity
Docencia para la Educacion Superior,Non-Science,Curriculum and Instruction
Docencia Universitaria,Non-Science,Curriculum and Instruction
Doctorate in traditional Chinese medicine,Alternative Medicine,Earned doctorate in traditional Chinese medicine
Drama,Non-Science,Theatre
Early Childhood Education (including Associate's degree),Non-Science,Early Childhood Education
E-Commerce Analytics,Non-Science,Business Analytics
Educacion primaria,Non-Science,Elementary education
Education (Associate's degree),Non-Science,Associate's degree in education
Educational Innovation (at graduate level),Non-Science,Educational Innovation and Technology
Educational Leadership (at undergraduate level),Non-Science,Education
Educational Leadership (at graduate level),Non-Science,Educational Leadership
Educational Management (at graduate level),Non-Science,Educational Administration
Educational Management/Administration (at undergraduate level),Non-Science,Education
Educational Measurement (at undergraduate level),Non-Science,
Educational Measurement (at graduate level),Non-Science,Educational Assessment and Evaluation
Educational Planning,Non-Science,Education Policy and Planning
Educational Psychology (at graduate level),Non-Science,Educational Psychology
Educational Psychology (at undergraduate level),Non-Science,Education
Educational Technology,Non-Science,Instructional Technology
Electrical Engineering,Science,Electrical Engineering
Electrical and Electronics Engineering,Science,Electrical and Electronics Engineering
Electromechanical Engineering,Science,Electromechanical Engineering
Electro-Mechanical Engineering Technology,Science,Electro-Mechanical Engineering Technology
Electromecanico,Science,Mechatronics engineering
Electronic Commerce,Non-Science,e-Commerce
Electronics,Science,Electronic Technology
Electronics and Communications Engineering,Science,Electronic and Telecommunications Engineering
Electronics and Information Engineering,Science,Electronics and Computer Engineering
Electronics Engineering,Science,Electronics Engineering
Electronics Engineering Technology,Science,Electronics Engineering Technology
Elementary Education (Associate's Degree),Non-Science,Elementary Education
Endodontics (Master's Degree),Science,Master of Science in Endodontics
Energy Systems Engineering,Science,Energy Systems Engineering
Engineering Drawing (associate level),Science,AAS in Drafting and Design Technology / Engineerign Drafting and DEsign Technology
Engineering Management,Science,Bachelor of Science or Master of Science in Engineering Management
Engineering Mechanics,Science,B.S. in Engineering Mechanics
Entrepreneurship,Non-Science,Entrepreneurship
Environmental Communication,Non-Science,Environmental Communication
Environmental Management,Non-Science,Environmental Management
Estate Management,Non-Science,Real Estate Property Management
Ethnoeducation,Non-Science,Ethnic Studies
Events Management,Non-Science,Events Management
